,exp_name,task_number,task_trained_on,model,lambda,accuracy
foolish_train35_eval20,exp1,20,35,foolish,,50.0
EWC_train35_eval20,exp1,20,35,EWC,0.4,53.5
naive_train36_eval20,exp1,20,36,naive,,45.0
foolish_train36_eval20,exp1,20,36,foolish,,58.0
EWC_train36_eval20,exp1,20,36,EWC,0.4,64.5
naive_train37_eval20,exp1,20,37,naive,,53.0
foolish_train37_eval20,exp1,20,37,foolish,,52.0
EWC_train37_eval20,exp1,20,37,EWC,0.4,68.5
naive_train38_eval20,exp1,20,38,naive,,46.0
foolish_train38_eval20,exp1,20,38,foolish,,40.5
EWC_train38_eval20,exp1,20,38,EWC,0.4,44.0
naive_train39_eval20,exp1,20,39,naive,,59.5
foolish_train39_eval20,exp1,20,39,foolish,,58.0
EWC_train39_eval20,exp1,20,39,EWC,0.4,64.5
naive_train40_eval20,exp1,20,40,naive,,59.5
foolish_train40_eval20,exp1,20,40,foolish,,55.5
EWC_train40_eval20,exp1,20,40,EWC,0.4,53.5
naive_train41_eval20,exp1,20,41,naive,,61.0
foolish_train41_eval20,exp1,20,41,foolish,,61.5
EWC_train41_eval20,exp1,20,41,EWC,0.4,66.0
naive_train42_eval20,exp1,20,42,naive,,37.0
foolish_train42_eval20,exp1,20,42,foolish,,42.5
EWC_train42_eval20,exp1,20,42,EWC,0.4,47.0
naive_train43_eval20,exp1,20,43,naive,,55.5
foolish_train43_eval20,exp1,20,43,foolish,,46.5
EWC_train43_eval20,exp1,20,43,EWC,0.4,54.0
naive_train44_eval20,exp1,20,44,naive,,48.0
foolish_train44_eval20,exp1,20,44,foolish,,47.5
EWC_train44_eval20,exp1,20,44,EWC,0.4,51.5
naive_train45_eval20,exp1,20,45,naive,,41.5
foolish_train45_eval20,exp1,20,45,foolish,,42.5
EWC_train45_eval20,exp1,20,45,EWC,0.4,50.5
naive_train46_eval20,exp1,20,46,naive,,55.5
foolish_train46_eval20,exp1,20,46,foolish,,51.0
EWC_train46_eval20,exp1,20,46,EWC,0.4,65.0
naive_train47_eval20,exp1,20,47,naive,,43.5
foolish_train47_eval20,exp1,20,47,foolish,,39.5
EWC_train47_eval20,exp1,20,47,EWC,0.4,53.0
naive_train48_eval20,exp1,20,48,naive,,33.5
foolish_train48_eval20,exp1,20,48,foolish,,34.0
EWC_train48_eval20,exp1,20,48,EWC,0.4,40.0
naive_train49_eval20,exp1,20,49,naive,,39.0
foolish_train49_eval20,exp1,20,49,foolish,,48.0
EWC_train49_eval20,exp1,20,49,EWC,0.4,51.0
naive_train21_eval21,exp1,21,21,naive,,81.0
foolish_train21_eval21,exp1,21,21,foolish,,89.5
EWC_train21_eval21,exp1,21,21,EWC,0.4,74.0
naive_train22_eval21,exp1,21,22,naive,,79.0
foolish_train22_eval21,exp1,21,22,foolish,,70.0
EWC_train22_eval21,exp1,21,22,EWC,0.4,76.0
naive_train23_eval21,exp1,21,23,naive,,49.5
foolish_train23_eval21,exp1,21,23,foolish,,51.0
EWC_train23_eval21,exp1,21,23,EWC,0.4,56.0
naive_train24_eval21,exp1,21,24,naive,,59.0
foolish_train24_eval21,exp1,21,24,foolish,,40.5
EWC_train24_eval21,exp1,21,24,EWC,0.4,61.0
naive_train25_eval21,exp1,21,25,naive,,48.0
foolish_train25_eval21,exp1,21,25,foolish,,52.0
EWC_train25_eval21,exp1,21,25,EWC,0.4,50.5
naive_train26_eval21,exp1,21,26,naive,,57.0
foolish_train26_eval21,exp1,21,26,foolish,,53.0
EWC_train26_eval21,exp1,21,26,EWC,0.4,58.5
naive_train27_eval21,exp1,21,27,naive,,50.0
foolish_train27_eval21,exp1,21,27,foolish,,46.0
EWC_train27_eval21,exp1,21,27,EWC,0.4,29.5
naive_train28_eval21,exp1,21,28,naive,,57.0
foolish_train28_eval21,exp1,21,28,foolish,,42.5
EWC_train28_eval21,exp1,21,28,EWC,0.4,52.5
naive_train29_eval21,exp1,21,29,naive,,58.5
foolish_train29_eval21,exp1,21,29,foolish,,50.0
EWC_train29_eval21,exp1,21,29,EWC,0.4,58.5
naive_train30_eval21,exp1,21,30,naive,,44.0
foolish_train30_eval21,exp1,21,30,foolish,,29.5
EWC_train30_eval21,exp1,21,30,EWC,0.4,45.5
naive_train31_eval21,exp1,21,31,naive,,44.0
foolish_train31_eval21,exp1,21,31,foolish,,44.5
EWC_train31_eval21,exp1,21,31,EWC,0.4,53.5
naive_train32_eval21,exp1,21,32,naive,,22.5
foolish_train32_eval21,exp1,21,32,foolish,,13.5
EWC_train32_eval21,exp1,21,32,EWC,0.4,35.5
naive_train33_eval21,exp1,21,33,naive,,67.5
foolish_train33_eval21,exp1,21,33,foolish,,48.0
EWC_train33_eval21,exp1,21,33,EWC,0.4,34.5
naive_train34_eval21,exp1,21,34,naive,,51.0
foolish_train34_eval21,exp1,21,34,foolish,,39.0
EWC_train34_eval21,exp1,21,34,EWC,0.4,31.0
naive_train35_eval21,exp1,21,35,naive,,76.0
foolish_train35_eval21,exp1,21,35,foolish,,76.5
EWC_train35_eval21,exp1,21,35,EWC,0.4,66.0
naive_train36_eval21,exp1,21,36,naive,,63.5
foolish_train36_eval21,exp1,21,36,foolish,,73.5
EWC_train36_eval21,exp1,21,36,EWC,0.4,64.5
naive_train37_eval21,exp1,21,37,naive,,82.5
foolish_train37_eval21,exp1,21,37,foolish,,56.0
EWC_train37_eval21,exp1,21,37,EWC,0.4,51.5
naive_train38_eval21,exp1,21,38,naive,,66.0
foolish_train38_eval21,exp1,21,38,foolish,,56.5
EWC_train38_eval21,exp1,21,38,EWC,0.4,69.0
naive_train39_eval21,exp1,21,39,naive,,17.0
foolish_train39_eval21,exp1,21,39,foolish,,24.5
EWC_train39_eval21,exp1,21,39,EWC,0.4,40.0
