,exp_name,task_number,task_trained_on,model,lambda,accuracy
EWC_train69_eval0,exp1,0,69,EWC,0.4,57.0
naive_train70_eval0,exp1,0,70,naive,,43.0
foolish_train70_eval0,exp1,0,70,foolish,,63.0
EWC_train70_eval0,exp1,0,70,EWC,0.4,56.5
naive_train71_eval0,exp1,0,71,naive,,52.5
foolish_train71_eval0,exp1,0,71,foolish,,43.5
EWC_train71_eval0,exp1,0,71,EWC,0.4,54.0
naive_train72_eval0,exp1,0,72,naive,,50.0
foolish_train72_eval0,exp1,0,72,foolish,,38.5
EWC_train72_eval0,exp1,0,72,EWC,0.4,51.0
naive_train73_eval0,exp1,0,73,naive,,39.0
foolish_train73_eval0,exp1,0,73,foolish,,42.0
EWC_train73_eval0,exp1,0,73,EWC,0.4,53.5
naive_train74_eval0,exp1,0,74,naive,,62.0
foolish_train74_eval0,exp1,0,74,foolish,,39.5
EWC_train74_eval0,exp1,0,74,EWC,0.4,49.5
naive_train75_eval0,exp1,0,75,naive,,53.0
foolish_train75_eval0,exp1,0,75,foolish,,55.0
EWC_train75_eval0,exp1,0,75,EWC,0.4,55.5
naive_train76_eval0,exp1,0,76,naive,,47.0
foolish_train76_eval0,exp1,0,76,foolish,,54.5
EWC_train76_eval0,exp1,0,76,EWC,0.4,47.0
naive_train77_eval0,exp1,0,77,naive,,42.0
foolish_train77_eval0,exp1,0,77,foolish,,38.5
EWC_train77_eval0,exp1,0,77,EWC,0.4,48.5
naive_train78_eval0,exp1,0,78,naive,,55.0
foolish_train78_eval0,exp1,0,78,foolish,,65.5
EWC_train78_eval0,exp1,0,78,EWC,0.4,49.5
naive_train79_eval0,exp1,0,79,naive,,64.0
foolish_train79_eval0,exp1,0,79,foolish,,57.5
EWC_train79_eval0,exp1,0,79,EWC,0.4,57.5
naive_train80_eval0,exp1,0,80,naive,,64.5
foolish_train80_eval0,exp1,0,80,foolish,,55.5
EWC_train80_eval0,exp1,0,80,EWC,0.4,48.0
naive_train81_eval0,exp1,0,81,naive,,48.0
foolish_train81_eval0,exp1,0,81,foolish,,36.5
EWC_train81_eval0,exp1,0,81,EWC,0.4,47.0
naive_train82_eval0,exp1,0,82,naive,,61.0
foolish_train82_eval0,exp1,0,82,foolish,,69.5
EWC_train82_eval0,exp1,0,82,EWC,0.4,53.5
naive_train83_eval0,exp1,0,83,naive,,41.0
foolish_train83_eval0,exp1,0,83,foolish,,47.0
EWC_train83_eval0,exp1,0,83,EWC,0.4,51.0
naive_train84_eval0,exp1,0,84,naive,,40.5
foolish_train84_eval0,exp1,0,84,foolish,,37.5
EWC_train84_eval0,exp1,0,84,EWC,0.4,50.5
naive_train85_eval0,exp1,0,85,naive,,40.0
foolish_train85_eval0,exp1,0,85,foolish,,53.0
EWC_train85_eval0,exp1,0,85,EWC,0.4,41.0
naive_train86_eval0,exp1,0,86,naive,,72.5
foolish_train86_eval0,exp1,0,86,foolish,,57.0
EWC_train86_eval0,exp1,0,86,EWC,0.4,53.0
naive_train87_eval0,exp1,0,87,naive,,69.5
foolish_train87_eval0,exp1,0,87,foolish,,63.5
EWC_train87_eval0,exp1,0,87,EWC,0.4,49.0
naive_train88_eval0,exp1,0,88,naive,,44.0
foolish_train88_eval0,exp1,0,88,foolish,,42.5
EWC_train88_eval0,exp1,0,88,EWC,0.4,48.0
naive_train89_eval0,exp1,0,89,naive,,39.0
foolish_train89_eval0,exp1,0,89,foolish,,50.0
EWC_train89_eval0,exp1,0,89,EWC,0.4,46.5
naive_train90_eval0,exp1,0,90,naive,,44.5
foolish_train90_eval0,exp1,0,90,foolish,,49.5
EWC_train90_eval0,exp1,0,90,EWC,0.4,51.5
